Fbb,Cbb,Gbb,Dbb,Abb,Ebb,Bbb,Fb,Cb,Gb,Db,Ab,Eb,Bb,F,C,G,D,A,E,B,F#,C#,G#,D#,A#,E#,B#,F##,C##,G##,D##,A##,E##,B##,composer,periode,title_file,work_group,opus,no,mov,title,date,instruments
0.0,0.0,0.0,1.0,0.0,10.0,10.0,82.0,169.0,193.0,135.0,183.0,197.0,311.0,192.0,82.0,130.0,199.0,145.0,211.0,272.0,379.0,327.0,179.0,155.0,189.0,97.0,50.0,9.0,10.0,22.0,2.0,0.0,0.0,0.0,Fauré,1,Ballade_19,,19.0,,,Ballade,1881,piano
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,27.0,79.0,208.0,247.0,114.0,147.0,230.0,114.0,37.0,24.0,20.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,berceuse-op16-gabriel-faure,,16.0,,,Berceuse,1878,chamber
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,43.0,97.0,81.0,65.0,93.0,125.0,81.0,29.0,8.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,cantique_de_jean_racine_11,,11.0,,,Cantique de Jean Racine,1865,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,58.0,174.0,116.0,82.0,66.0,118.0,79.0,23.0,3.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,Dans_les_ruines_d_une_abbaye,2 mélodies,2.0,1.0,,Dans les ruines d'une Abbaye,1865,vocal 
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,103.0,252.0,458.0,125.0,185.0,512.0,409.0,160.0,50.0,50.0,61.0,21.0,29.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,elegie_24,,24.0,,,Elégie,1883,chamber
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,34.0,57.0,64.0,87.0,150.0,156.0,42.0,9.0,28.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,faure-gabriel-3-songs-op7-no-3-barcarolle,3 mélodies,7.0,3.0,,Barcarolle,1873,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,36.0,144.0,200.0,224.0,183.0,135.0,221.0,125.0,6.0,18.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,faure-lepapillonetlafleur-high-voice-rem,2 mélodies,1.0,1.0,,Le Papillon et la Fleur,1861,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,85.0,60.0,283.0,686.0,740.0,800.0,869.0,1027.0,1069.0,598.0,403.0,408.0,303.0,212.0,113.0,108.0,64.0,22.0,32.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Fauré,1,faure-piano-quartet-no-1-movement-i,Quatuor pour piano et cordes n°1,15.0,,1.0,Quatuor pour piano et cordes n°1,1879,chamber 
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,76.0,113.0,237.0,447.0,970.0,1098.0,723.0,661.0,775.0,668.0,299.0,111.0,129.0,302.0,93.0,12.0,69.0,53.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Fauré,1,faure-piano-quartet-no-1-movement-ii,Quatuor pour piano et cordes n°1,15.0,,2.0,Quatuor pour piano et cordes n°1,1879,chamber
0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,14.0,60.0,157.0,369.0,399.0,262.0,375.0,436.0,402.0,190.0,37.0,65.0,119.0,59.0,6.0,11.0,23.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,faure-piano-quartet-no-1-movement-iii,Quatuor pour piano et cordes n°1,15.0,,3.0,Quatuor pour piano et cordes n°1,1879,chamber
1.0,0.0,0.0,0.0,0.0,2.0,22.0,16.0,145.0,288.0,334.0,597.0,1189.0,968.0,807.0,1378.0,1309.0,660.0,492.0,532.0,465.0,259.0,64.0,61.0,87.0,32.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,faure-piano-quartet-no1-movement-iv,Quatuor pour piano et cordes n°1,15.0,,4.0,Quatuor pour piano et cordes n°1,1879,chamber
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,58.0,101.0,144.0,99.0,203.0,190.0,220.0,94.0,18.0,30.0,44.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,gabriel-faure-apres-un-reve,3 mélodies,7.0,1.0,,Après un rêve,1877,vocal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,43.0,62.0,36.0,71.0,90.0,87.0,38.0,8.0,9.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,ici-bas-gabriel-faure,3 mélodies,8.0,3.0,,Ici-bas!,1874,vocal
0.0,0.0,0.0,0.0,0.0,2.0,35.0,98.0,129.0,91.0,248.0,479.0,455.0,258.0,215.0,244.0,157.0,83.0,40.0,49.0,78.0,30.0,42.0,7.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,imoromptu_34_3,,34.0,,,Impromptu n°3,1883,piano
0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.0,63.0,33.0,139.0,274.0,449.0,409.0,269.0,294.0,360.0,126.0,109.0,87.0,51.0,55.0,42.0,17.0,30.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fauré,1,impormptu_1_25,,24.0,,,Impromptu n°1,1881,piano
