composer,periode,title_file,work_group,opus,no,mov,title,date,instruments,shift_binomial,shift_binomial_tritones,shift_gamma,weights_binomial,weights_binomial_tritones,weights_gamma,probs_binomial,rate_gamma
Fauré,1,Ballade_19,,19.0,,,Ballade,1881,piano,18,18,6,[0.75890077 0.01306067 0.10364384 0.0034792  0.00676269 0.11415283],"[0.26337892 0.09114995 0.00047011 0.10489309 0.23229701 0.24096912
 0.00125219 0.06558961]","[1.64963215e-01 8.21805789e-01 8.47047989e-03 1.26935241e-03
 6.92066230e-04 2.79909770e-03]",0.7491286263911991,0.4188914997256911
Fauré,1,berceuse-op16-gabriel-faure,,16.0,,,Berceuse,1878,chamber,19,20,19,"[3.84848422e-02 6.90402870e-01 5.25405889e-04 2.58337661e-01
 9.81280042e-03 2.43642033e-03]","[0.19411562 0.43554222 0.01238635 0.2834095  0.07215176 0.00107249
 0.00064532 0.00067673]","[5.25575938e-01 4.73102749e-01 1.46700120e-04 5.53547638e-04
 4.99969657e-04 1.21094959e-04]",0.4506131591393671,0.6971982950445064
Fauré,1,cantique_de_jean_racine_11,,11.0,,,Cantique de Jean Racine,1865,vocal,22,21,22,"[4.03010076e-01 5.59385369e-01 7.00440718e-05 3.68645723e-02
 5.90512178e-04 7.94271953e-05]","[3.00327290e-01 3.88223556e-01 1.43014049e-01 7.07463474e-04
 5.58909038e-02 1.10746651e-01 7.30875441e-04 3.59211434e-04]","[4.76563560e-01 5.20001995e-01 2.18168579e-04 1.44006937e-03
 1.62549927e-03 1.50708032e-04]",0.5711169865290533,1.2079091340213566
Fauré,1,Dans_les_ruines_d_une_abbaye,2 mélodies,2.0,1.0,,Dans les ruines d'une Abbaye,1865,vocal ,22,24,25,"[1.70498363e-03 7.34053562e-01 4.82391279e-05 1.88323015e-01
 7.58074874e-02 6.27124999e-05]","[4.92970109e-01 1.98139570e-01 3.57039710e-04 3.47652133e-02
 2.72567460e-01 3.30456934e-04 4.26598509e-04 4.43553109e-04]","[8.69808607e-01 1.23547250e-01 1.49655390e-04 5.04244029e-03
 1.31927466e-03 1.32772383e-04]",0.3805365034388394,0.4890372518805963
Fauré,1,elegie_24,,24.0,,,Elégie,1883,chamber,21,20,21,"[4.21463560e-03 7.17575764e-01 2.11543540e-04 2.70410588e-01
 5.75104958e-03 1.83641949e-03]","[0.4266223  0.1778539  0.17767447 0.0036823  0.04985899 0.14025091
 0.02322527 0.00083187]","[4.99079926e-01 4.89439892e-01 3.40768348e-04 2.80571053e-03
 8.10868175e-03 2.25021015e-04]",0.5155638283426788,0.7186739615122397
Fauré,1,faure-gabriel-3-songs-op7-no-3-barcarolle,3 mélodies,7.0,3.0,,Barcarolle,1873,vocal,21,20,19,"[4.51096097e-01 3.30606415e-01 1.23363210e-01 3.87481440e-04
 5.15856313e-02 4.29611656e-02]","[0.12444847 0.59898216 0.19455881 0.0416627  0.02389377 0.0147504
 0.00102764 0.00067604]","[6.03768653e-02 8.96146133e-01 6.04792821e-04 3.96986607e-02
 2.75427872e-03 4.19269647e-04]",0.3710749590105515,0.7227593238003814
Fauré,1,faure-lepapillonetlafleur-high-voice-rem,2 mélodies,1.0,1.0,,Le Papillon et la Fleur,1861,vocal,16,17,18,"[4.16949435e-01 5.42622489e-01 1.42720095e-04 3.94606897e-02
 6.82568536e-04 1.42097591e-04]","[0.24083753 0.48268239 0.00851259 0.19793896 0.06135468 0.0074772
 0.00050502 0.00069163]","[6.76652346e-01 3.21713036e-01 3.49849264e-04 5.68400580e-04
 3.93542379e-04 3.22825566e-04]",0.5947423969742034,0.8588058947730461
Fauré,1,faure-piano-quartet-no-1-movement-i,Quatuor pour piano et cordes n°1,15.0,,1.0,Quatuor pour piano et cordes n°1,1879,chamber ,20,20,22,[0.04969288 0.70078526 0.00085071 0.22516357 0.01354672 0.00996087],"[0.34197717 0.36169929 0.16467297 0.00479035 0.10156792 0.00119413
 0.02346838 0.00062981]","[5.81977797e-01 4.01593065e-01 6.73564690e-04 9.99667359e-03
 5.28602004e-03 4.72880182e-04]",0.602609143759209,0.34298526905157173
Fauré,1,faure-piano-quartet-no-1-movement-ii,Quatuor pour piano et cordes n°1,15.0,,2.0,Quatuor pour piano et cordes n°1,1879,chamber,21,22,26,[0.04402204 0.64191527 0.01913411 0.10410893 0.17535578 0.01546388],"[0.23808275 0.42527303 0.03451082 0.04028374 0.25304282 0.00722352
 0.00071783 0.00086549]",[0.88527961 0.09873106 0.00278784 0.00556342 0.00644644 0.00119163],0.38330969005783494,0.6336587489808622
Fauré,1,faure-piano-quartet-no-1-movement-iii,Quatuor pour piano et cordes n°1,15.0,,3.0,Quatuor pour piano et cordes n°1,1879,chamber,21,20,20,"[1.93897820e-03 7.46064731e-01 2.76994982e-04 1.46034738e-01
 1.00033621e-01 5.65093684e-03]","[0.31703107 0.36221824 0.23476452 0.00127189 0.05431162 0.00203237
 0.02786966 0.00050063]","[3.16949070e-01 6.36309212e-01 2.94172490e-04 4.27642507e-03
 4.19424233e-02 2.28696330e-04]",0.4760452518329353,1.6531255593587826
